id;nombre;duracion;descripcion;detalle;genero;clasifiacion;estado;fecha_comienzo;fecha_finalizacion
1;Concrete;110;USB;Persevering;Malaysian Ringgit green Corporate;circuit;true;2020-12-21;2020-12-21
2;International 24/7 Cambridgeshire;32546;Licensed Rubber Keyboard;Direct Frozen;Madagascar parsing transmit;Buckinghamshire Investment Account;false;2020-12-21;2020-12-21
3;withdrawal Credit Card Account;4702;Rustic Frozen Sausages interface;analyzing National;Garden repurpose;Applications Ball;true;2020-12-21;2020-12-20
4;lavender collaborative Ergonomic Granite Shoes;75013;Branding;auxiliary;AGP;open-source cyan;false;2020-12-21;2020-12-21
5;viral Rustic;43353;protocol Cheese;Unbranded;core;auxiliary;false;2020-12-21;2020-12-21
6;lavender Missouri enhance;51542;Shirt District Developer;Belarus;withdrawal Borders;User-friendly Garden;false;2020-12-20;2020-12-21
7;GB Music;54034;Wooden Table withdrawal;National;Handmade Steel Chips Towels Minnesota;Developer;false;2020-12-21;2020-12-21
8;Legacy;26935;Savings Account;Concrete FTP;Accountability Program maroon;redundant;false;2020-12-21;2020-12-21
9;bus Factors backing up;44972;Burgs Michigan;transmitting;Isle Wooden;ivory;true;2020-12-21;2020-12-21
10;time-frame expedite Buckinghamshire;94062;Well quantify;New Jersey functionalities deposit;Associate;Checking Account;true;2020-12-21;2020-12-21
