id;hora_proyeccion;estado;fecha_comienzo;fecha_finalizacion
1;2020-12-21T14:26:07;false;2020-12-21;2020-12-21
2;2020-12-21T13:07:21;false;2020-12-21;2020-12-21
3;2020-12-21T13:08:33;true;2020-12-21;2020-12-21
4;2020-12-21T09:16:26;false;2020-12-21;2020-12-21
5;2020-12-21T16:21:58;true;2020-12-21;2020-12-21
6;2020-12-21T08:52:59;true;2020-12-21;2020-12-21
7;2020-12-21T15:29:06;true;2020-12-21;2020-12-21
8;2020-12-20T23:58:02;true;2020-12-21;2020-12-21
9;2020-12-21T05:33:36;false;2020-12-20;2020-12-21
10;2020-12-21T12:24:56;false;2020-12-21;2020-12-21
